id,bookname,category,genre,author,publisher,yearpublished,isbn,edition,price
1015,Forever, fiction,,Maggie Stiefvater,Penguin Group (USA) LLC,2011,,,7.81
1016,The Beach,fiction,,Alex Garland,Hachette Book Group,1996,,,5.56
1017,Saving CeeCee Honeycutt, fiction,,"Beth Hoffman, Jenna Lamia","Amazon Digital Services,  Inc.",2010,,,2.99
1018,Deadlocked,nonfiction,,Charlaine Harris,"Amazon Digital Services,  Inc.",2012,,,9.99
1019,Everything's Eventual: 14 Dark Tales,fiction,,Stephen King,"Amazon Digital Services,  Inc.",2002,,,2.99
1020,Beezus and Ramona, fiction,,Beverly Cleary,Random House LLC,1955,,,6.99
1021,The Farthest Shore,nonfiction,,Ursula K. Le Guin,"Amazon Digital Services,  Inc.",1972,,,1.99
1022,Airframe, fiction,,Michael Crichton,"Amazon Digital Services,  Inc.",1996,,,0.99
1023,Magician, fiction,,Raymond E. Feist,Random House LLC,1982,,,7.69
1024,Bet Me, fiction,,Jennifer Crusie,Random House LLC,2004,,,7.99
1025,Long Walk to Freedom: The Autobiography of Nelson Mandela, fiction,,Nelson Mandela,"Amazon Digital Services,  Inc.",1994,,,2.99
1026,Gray Mountain,nonfiction,,John Grisham,"Amazon Digital Services,  Inc.",2014,,,0.99
1027,The Power of One, fiction,,Bryce Courtenay,Random House LLC,1989,,,7.99
1028,The Maltese Falcon, fiction,,Dashiell Hammett,Hachette Book Group,1930,,,7.99
1029,Night Road, fiction,,Kristin Hannah,"Amazon Digital Services,  Inc.",2011,,,0.99
1030,Tripwire, fiction,,Lee Child,"Amazon Digital Services,  Inc.",1999,,,2.99
1031,Tripwire,,,,,,,,
1032,,,,,,,,,
1033,,,,,,,,,
1034,,,,,,,,,
1035,,,,,,,,,
1036,,,,,,,,,
1037,,,,,,,,,
1038,,,,,,,,,
1039,,,,,,,,,
1040,,,,,,,,,
1041,,,,,,,,,
1042,,,,,,,,,
1043,,,,,,,,,
1044,,,,,,,,,
1045,,,,,,,,,
1046,,,,,,,,,
1047,,,,,,,,,
1048,,,,,,,,,
1049,,,,,,,,,
1050,,,,,,,,,
1051,,,,,,,,,
1052,,,,,,,,,
1053,,,,,,,,,
1054,,,,,,,,,
1055,,,,,,,,,
1056,,,,,,,,,
1057,,,,,,,,,
1058,,,,,,,,,
1059,,,,,,,,,
1060,,,,,,,,,
1061,,,,,,,,,
1062,,,,,,,,,
1063,,,,,,,,,
1064,,,,,,,,,
1065,,,,,,,,,
1066,,,,,,,,,
1067,,,,,,,,,
1068,,,,,,,,,
